eta	pt	iso	relISO
1	7	0	5.717865292353963e-07
1	7	0.001	0.08859413862228394
1	7	0.155	0.2400907278060913
1	7	0.33	0.41332095861434937
2	7	0	4.2504152020228503e-07
2	7	0.001	0.0898502990603447
2	7	0.155	0.23788167536258698
2	7	0.324	0.40936926007270813
3	7	0	5.955877782071184e-07
3	7	0.001	0.10790245980024338
3	7	0.204	0.33961033821105957
1	10	0	0.015020319260656834
1	10	0.081	0.17670036852359772
1	10	0.277	0.36253705620765686
1	10	0.452	0.5255210399627686
2	10	0	0.019285283982753754
2	10	0.095	0.18955199420452118
2	10	0.286	0.36875852942466736
2	10	0.455	0.5265798568725586
3	10	0	0.01027042604982853
3	10	0.065	0.17137952148914337
3	10	0.293	0.4357439875602722
1	15	0	0.005603007506579161
1	15	0.04	0.09082186222076416
1	15	0.141	0.18324117362499237
1	15	0.226	0.26310548186302185
2	15	0	0.004693143535405397
2	15	0.037	0.0876006931066513
2	15	0.139	0.18042977154254913
2	15	0.224	0.26256054639816284
3	15	0	0.00600349809974432
3	15	0.04	0.09799716621637344
3	15	0.164	0.23022803664207458
