eta	pt	iso	relISO
1	7	0	3.147732741126674e-07
1	7	0.001	0.08609428256750107
1	7	0.155	0.233133003115654
1	7	0.33	0.4058486223220825
2	7	0	3.457113564309111e-07
2	7	0.001	0.08603574335575104
2	7	0.155	0.23089943826198578
2	7	0.324	0.4053272008895874
3	7	0	1.3222165762272198e-07
3	7	0.001	0.10147783905267715
3	7	0.204	0.3239598870277405
1	10	0	0.014452701434493065
1	10	0.081	0.1637687236070633
1	10	0.277	0.3540135324001312
1	10	0.452	0.5213431119918823
2	10	0	0.018115032464265823
2	10	0.095	0.17785373330116272
2	10	0.286	0.3654600977897644
2	10	0.455	0.5252735614776611
3	10	0	0.01003942172974348
3	10	0.065	0.15440303087234497
3	10	0.293	0.41472485661506653
1	15	0	0.0050964062102139
1	15	0.04	0.08622150868177414
1	15	0.141	0.18088075518608093
1	15	0.226	0.26065120100975037
2	15	0	0.004222755786031485
2	15	0.037	0.0843110904097557
2	15	0.139	0.17780683934688568
2	15	0.224	0.2606585621833801
3	15	0	0.00512471841648221
3	15	0.04	0.09184141457080841
3	15	0.164	0.22368083894252777
